Date,Open,High,Low,Close,Volume
16-04-2007,197.0,198.8,194.07,195.35,563000.0
17-04-2007,196.02,198.4,193.99,195.4,491750.0
18-04-2007,196.38,198.6,195.23,196.17,443000.0
19-04-2007,193.0,197.2,191.2,195.58,545500.0
20-04-2007,195.0,201.39,193.8,199.48,886500.0
23-04-2007,200.2,200.2,196.12,196.74,700500.0
24-04-2007,197.36,205.18,194.98,203.45,1416250.0
25-04-2007,204.6,207.2,203.2,204.31,952250.0
26-04-2007,206.29,208.96,202.4,207.0,1080000.0
27-04-2007,201.6,205.0,200.48,201.75,535500.0
30-04-2007,199.66,204.0,197.6,202.74,451750.0
03-05-2007,205.4,206.8,200.03,200.83,577500.0
04-05-2007,203.0,203.8,200.2,201.27,579500.0
07-05-2007,203.0,203.98,199.21,199.64,372000.0
08-05-2007,198.0,199.18,197.2,197.42,462750.0
09-05-2007,196.42,199.2,195.02,198.79,514250.0
10-05-2007,201.0,202.8,199.45,199.95,778500.0
11-05-2007,197.0,201.17,195.05,198.16,686250.0
14-05-2007,200.25,203.6,198.19,199.18,724750.0
15-05-2007,198.96,202.0,198.8,201.34,685750.0
16-05-2007,202.05,207.96,201.2,206.85,1357500.0
17-05-2007,209.0,212.04,208.0,209.19,1010500.0
18-05-2007,209.4,218.0,209.0,215.13,1525750.0
21-05-2007,216.2,223.74,214.0,220.52,1275000.0
22-05-2007,221.57,225.6,221.01,221.92,621500.0
23-05-2007,223.36,223.78,220.6,222.35,510500.0
24-05-2007,222.8,223.6,215.2,218.27,551250.0
25-05-2007,211.06,217.0,211.06,215.27,727500.0
28-05-2007,222.0,227.7,222.0,225.49,754250.0
29-05-2007,225.6,230.2,224.44,229.35,828250.0
30-05-2007,227.9,227.9,219.3,221.4,781250.0
31-05-2007,224.52,231.0,224.52,229.61,760750.0
01-06-2007,229.8,232.58,228.53,229.89,533000.0
04-06-2007,232.0,235.99,228.8,231.98,803000.0
05-06-2007,231.0,233.04,229.05,232.61,489750.0
06-06-2007,232.36,232.8,223.2,224.49,630000.0
07-06-2007,221.99,225.56,219.2,220.55,613500.0
08-06-2007,218.2,218.8,214.42,216.56,682000.0
11-06-2007,218.5,224.4,218.2,219.44,649500.0
12-06-2007,220.4,221.98,214.58,218.18,446750.0
13-06-2007,216.0,216.8,213.6,215.29,436750.0
14-06-2007,219.2,220.0,216.47,218.42,340750.0
15-06-2007,220.0,222.68,218.0,220.02,563750.0
18-06-2007,222.79,223.97,216.8,217.85,462750.0
19-06-2007,218.8,221.6,218.8,220.73,615750.0
20-06-2007,221.33,223.8,218.0,220.64,768250.0
